<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-DISC-001-05,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(0.0f, 0.0f) float 等于0 threshold",期望输出 1,期望输出 1,N/A,FAIL,是
TC-UNIT-DISC-001-06,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5, 3) int32","期望输出 hash(prefix='disc_001_06_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-DISC-001-07,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2, 3) int32","期望输出 hash(prefix='disc_001_06_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-DISC-001-08,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3, 3) int32 等于 threshold","期望输出 hash(prefix='disc_001_06_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-DISC-001-09,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5LL, 3LL) int64","期望输出 hash(prefix='disc_001_09_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-DISC-001-10,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2LL, 3LL) int64","期望输出 hash(prefix='disc_001_09_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-DISC-001-11,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3LL, 3LL) int64 等于 threshold","期望输出 hash(prefix='disc_001_09_', value=1, mask=1048575)",期望输出 1,N/A,FAIL,是
TC-UNIT-DISC-001-12,TC-UNIT-DISC-001,单元测试,P0,binarize,binarize 返回类型为 int32，须配 hash,"配置 hash.prefix=""bin_""，验证哈希输出 ∈ [0, mask]","配置 hash.prefix=""bin_""，验证哈希输出 ∈ [0, mask]",N/A,FAIL,是
TC-UNIT-DISC-002-01,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(20.0f, [18,25,35,45,55,65]) 边界内","期望输出 hash(prefix='disc_002_01_', value=2, mask=1048575)",期望输出 1（18≤20<25）,N/A,FAIL,是
TC-UNIT-DISC-002-02,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30.0f, [18,25,35,45,55,65])","期望输出 hash(prefix='disc_002_01_', value=3, mask=1048575)",期望输出 2（25≤30<35）,N/A,FAIL,是
TC-UNIT-DISC-002-03,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(60.0f, [18,25,35,45,55,65])","期望输出 hash(prefix='disc_002_01_', value=4, mask=1048575)",期望输出 5（55≤60<65）,N/A,FAIL,是
TC-UNIT-DISC-002-04,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(17.0f, [18,25,35,45,55,65]) 低于最小边界","期望输出 hash(prefix='disc_002_04_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-DISC-002-05,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(-100.0f, [18,25,35,45,55,65])","期望输出 hash(prefix='disc_002_04_', value=0, mask=1048575)",期望输出 0,N/A,FAIL,是
TC-UNIT-DISC-002-06,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(70.0f, [18,25,35,45,55,65]) 高于最大边界","期望输出 hash(prefix='disc_002_06_', value=6, mask=1048575)",期望输出 6,N/A,FAIL,是
TC-UNIT-DISC-002-07,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(1000.0f, [18,25,35,45,55,65])","期望输出 hash(prefix='disc_002_06_', value=6, mask=1048575)",期望输出 6,N/A,FAIL,是
TC-UNIT-DISC-002-08,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(18.0f, [18,25,...]) 等于最小边界","期望输出 hash(prefix='disc_002_01_', value=1, mask=1048575)",期望输出 1（≥18 属于第1桶）,N/A,FAIL,是
TC-UNIT-DISC-002-09,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(25.0f, [18,25,...]) 等于中间边界","期望输出 hash(prefix='disc_002_01_', value=3, mask=1048575)",期望输出 2（≥25 属于第2桶）,N/A,FAIL,是
TC-UNIT-DISC-002-10,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30, [...]) int32","期望输出 hash(prefix='disc_002_10_', value=2, mask=1048575)",期望输出 2,N/A,FAIL,是
TC-UNIT-DISC-002-11,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30LL, [18LL,25LL,35LL]) int64",期望输出 2,期望输出 2,N/A,FAIL,是
TC-UNIT-DISC-002-12,TC-UNIT-DISC-002,单元测试,P0,bucketize,"配置 hash.prefix=""age_bucket_""，验证哈希输出","期望输出 ∈ [0, mask]","期望输出 ∈ [0, mask]",N/A,FAIL,是
TC-UNIT-IDENTITY-001-01,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_float user.age=3.14f) + export.len=1,padding=0.0",期望输出 [3.14f]，值不变,期望输出 [3.14f]，值不变,N/A,FAIL,是
TC-UNIT-IDENTITY-001-02,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_int32 user.count=42) + hash.prefix=""cnt_""","期望输出 hash(""cnt_""+42) ∈ [0, mask]","期望输出 hash(""cnt_""+42) ∈ [0, mask]",N/A,FAIL,是
TC-UNIT-IDENTITY-001-03,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_int64 user.uid=9999999LL) 无hash,期望直通输出 9999999LL,期望直通输出 9999999LL,N/A,FAIL,是
TC-UNIT-IDENTITY-001-04,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string user.gender=""male"") 自动hash","期望输出哈希值 ∈ [0, mask]","期望输出哈希值 ∈ [0, mask]",N/A,FAIL,是
TC-UNIT-IDENTITY-001-05,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string user.gender=""male"") 连续执行两次",期望两次哈希值完全相同（幂等）,期望两次哈希值完全相同（幂等）,N/A,FAIL,是
TC-UNIT-IDENTITY-001-06,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_int32 user.age=25) 字段缺失,不崩溃，返回 padding,不崩溃，返回 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-IDENTITY-001-07,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string_array item.tags=[""sports"",""news""]) + export.len=5,padding=0",期望哈希数组长度=2，补 padding 至 5,期望哈希数组长度=2，补 padding 至 5,N/A,FAIL,是
TC-UNIT-IDENTITY-001-08,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_int64_array user.ids=[1LL,2LL,3LL]) 直通","期望输出 [1LL,2LL,3LL]，保持原顺序","期望输出 [1LL,2LL,3LL]，保持原顺序",N/A,FAIL,是
TC-UNIT-IDENTITY-001-09,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_float_array item.scores=[0.1f,0.2f,0.3f]) + export.len=3,padding=0.0","期望输出 [0.1f,0.2f,0.3f]","期望输出 [0.1f,0.2f,0.3f]",N/A,FAIL,是
TC-UNIT-IDENTITY-001-10,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_string_array item.tags=[]) 空数组,不崩溃，返回空数组或 padding,不崩溃，返回空数组或 padding,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-IDENTITY-001-11,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(float) + 配置 hash 非法,期望构建期报错（float 不支持 hash）,期望构建期报错（float 不支持 hash）,build_error: RuntimeError,PASS,是
TC-UNIT-IDENTITY-001-12,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(int32) + 无 hash 非法,期望构建期报错（int32 必须配 hash）,期望构建期报错（int32 必须配 hash）,build_error: RuntimeError,PASS,是
TC-UNIT-STR-001-01,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""Hello_World"")","期望输出 ""hello_world""","期望输出 ""hello_world""",N/A,FAIL,是
TC-UNIT-STR-001-02,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""ABC123"")","期望输出 ""abc123""","期望输出 ""abc123""",N/A,FAIL,是
TC-UNIT-STR-001-03,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""already_lower"") 已小写","期望输出 ""already_lower""（不变）","期望输出 ""already_lower""（不变）",N/A,FAIL,是
TC-UNIT-STR-001-04,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower("""") 空字符串","期望输出 """"，不崩溃","期望输出 """"，不崩溃",N/A,FAIL,是
TC-UNIT-STR-001-05,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""SAME"") 连续执行两次",期望两次哈希值完全相同（幂等）,期望两次哈希值完全相同（幂等）,N/A,FAIL,是
TC-UNIT-STR-001-06,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""hello"")","期望输出 ""HELLO""","期望输出 ""HELLO""",N/A,FAIL,是
TC-UNIT-STR-001-07,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""abc123"")","期望输出 ""ABC123""","期望输出 ""ABC123""",N/A,FAIL,是
TC-UNIT-STR-001-08,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""ALREADY_UPPER"") 已大写","期望输出 ""ALREADY_UPPER""（不变）","期望输出 ""ALREADY_UPPER""（不变）",N/A,FAIL,是
TC-UNIT-STR-001-09,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper("""") 空字符串","期望输出 """"，不崩溃","期望输出 """"，不崩溃",N/A,FAIL,是
TC-UNIT-STR-001-10,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abc"")","期望输出 ""cba""","期望输出 ""cba""",N/A,FAIL,是
TC-UNIT-STR-001-11,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abcd"")","期望输出 ""dcba""","期望输出 ""dcba""",N/A,FAIL,是
TC-UNIT-STR-001-12,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""a"") 单字符","期望输出 ""a""","期望输出 ""a""",N/A,FAIL,是
TC-UNIT-STR-001-13,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse("""") 空字符串","期望输出 """"，不崩溃","期望输出 """"，不崩溃",N/A,FAIL,是
TC-UNIT-STR-001-14,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abcba"") 回文","期望输出 ""abcba""（不变）","期望输出 ""abcba""（不变）",N/A,FAIL,是
TC-UNIT-STR-001-15,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,lower/upper/reverse 输出类型 string，须配 hash,"配置 hash.prefix=""str_""，验证哈希输出 ∈ [0, mask]","配置 hash.prefix=""str_""，验证哈希输出 ∈ [0, mask]",N/A,FAIL,是
TC-UNIT-STR-002-01,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello world"", 0, 5)","期望输出 ""hello""","期望输出 ""hello""",N/A,FAIL,是
TC-UNIT-STR-002-02,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello world"", 6, 5)","期望输出 ""world""","期望输出 ""world""",N/A,FAIL,是
TC-UNIT-STR-002-03,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 2, 3)","期望输出 ""llo""","期望输出 ""llo""",N/A,FAIL,是
TC-UNIT-STR-002-04,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 0, 100) length > 字符串长度","期望输出 ""hello""，不越界","期望输出 ""hello""，不越界",N/A,FAIL,是
TC-UNIT-STR-002-05,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 2, 100)","期望输出 ""llo""","期望输出 ""llo""",N/A,FAIL,是
TC-UNIT-STR-002-06,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 5, 3) start到末尾","期望输出 """"","期望输出 """"",N/A,FAIL,是
TC-UNIT-STR-002-07,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr("""", 0, 5) 空字符串","期望输出 """"，不崩溃","期望输出 """"，不崩溃",N/A,FAIL,是
TC-UNIT-STR-002-08,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", -1, 3) 负数start","不崩溃，返回 """" 或 padding","不崩溃，返回 """" 或 padding",N/A,FAIL,是
TC-UNIT-STR-002-09,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 0, 0) length=0","期望输出 """"","期望输出 """"",N/A,FAIL,是
TC-UNIT-STR-002-10,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""category_sports"", [""cat"",""user"",""item""])","期望输出 ""cat""","期望输出 ""cat""",N/A,FAIL,是
TC-UNIT-STR-002-11,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""user_123"", [""cat"",""user"",""item""])","期望输出 ""user""","期望输出 ""user""",N/A,FAIL,是
TC-UNIT-STR-002-12,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""item_001"", [""cat"",""user"",""item""])","期望输出 ""item""","期望输出 ""item""",N/A,FAIL,是
TC-UNIT-STR-002-13,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""unknown_str"", [""cat"",""user"",""item""]) 无匹配","期望输出 """"","期望输出 """"",N/A,FAIL,是
TC-UNIT-STR-002-14,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""category_sports"", []) 空前缀列表","期望输出 """"，不崩溃","期望输出 """"，不崩溃",Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STR-002-15,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix("""", [""cat"",""user""]) 空字符串","期望输出 """"，不崩溃","期望输出 """"，不崩溃",Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-STR-002-16,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""cat"", [""cat"",""category""]) 完全匹配","期望输出 ""cat""","期望输出 ""cat""",N/A,FAIL,是
TC-UNIT-CONCAT-001-01,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(""hello"", ""world"") string+string","期望输出 ""helloworld""","期望输出 ""helloworld""",N/A,FAIL,是
TC-UNIT-CONCAT-001-02,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(25, ""male"") int32+string","期望输出 ""25male""","期望输出 ""25male""",N/A,FAIL,是
TC-UNIT-CONCAT-001-03,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(""age"", 30) string+int32","期望输出 ""age30""","期望输出 ""age30""",N/A,FAIL,是
TC-UNIT-CONCAT-001-04,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, ""price"") float+string","记录实际 float 格式（如 ""3.14price"" 或 ""3.140000price""）","记录实际 float 格式（如 ""3.14price"" 或 ""3.140000price""）",N/A,FAIL,是
TC-UNIT-CONCAT-001-05,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100, 200) int32+int32","期望输出 ""100200""","期望输出 ""100200""",N/A,FAIL,是
TC-UNIT-CONCAT-001-06,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100LL, 200LL) int64+int64","期望输出 ""100200""","期望输出 ""100200""",N/A,FAIL,是
TC-UNIT-CONCAT-001-07,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, 2.71f) float+float",期望输出两数字字符串拼接,期望输出两数字字符串拼接,N/A,FAIL,是
TC-UNIT-CONCAT-001-08,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100LL, ""str"") int64+string","期望输出 ""100str""","期望输出 ""100str""",N/A,FAIL,是
TC-UNIT-CONCAT-001-09,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, 42) float+int32",期望输出拼接字符串,期望输出拼接字符串,N/A,FAIL,是
TC-UNIT-CONCAT-001-10,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(42, 3.14f) int32+float",期望输出拼接字符串,期望输出拼接字符串,N/A,FAIL,是
TC-UNIT-CONCAT-001-11,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat 剩余6种类型组合（int64+float, int64+int32, float+int64, string+int64, string+float, int32+int64）",每种组合均输出合法字符串,每种组合均输出合法字符串,N/A,FAIL,是
TC-UNIT-CONCAT-001-12,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""@"", ""user123"", ""cn"")","期望输出 ""user123@cn""","期望输出 ""user123@cn""",N/A,FAIL,是
TC-UNIT-CONCAT-001-13,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""_"", 2024, ""01"") int32+string","期望输出 ""2024_01""","期望输出 ""2024_01""",N/A,FAIL,是
TC-UNIT-CONCAT-001-14,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""-"", 3.14f, ""price"") float+string",记录实际 float 格式,记录实际 float 格式,N/A,FAIL,是
TC-UNIT-CONCAT-001-15,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""|"", 100LL, 200LL) int64+int64","期望输出 ""100|200""","期望输出 ""100|200""",N/A,FAIL,是
TC-UNIT-CONCAT-001-16,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws("""", ""a"", ""b"") 空分隔符","期望输出 ""ab""","期望输出 ""ab""",N/A,FAIL,是
TC-UNIT-CONCAT-002-01,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""@"", ""UserID"", ""CN"")","期望输出 ""userid@cn""","期望输出 ""userid@cn""",N/A,FAIL,是
TC-UNIT-CONCAT-002-02,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""_"", ""Hello"", ""World"")","期望输出 ""hello_world""","期望输出 ""hello_world""",N/A,FAIL,是
TC-UNIT-CONCAT-002-03,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""@"", 25, ""Male"") int32+string","期望输出 ""25@male""（记录数字是否参与lower）","期望输出 ""25@male""（记录数字是否参与lower）",N/A,FAIL,是
TC-UNIT-CONCAT-002-04,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws("""", ""UPPER"", ""CASE"") 空分隔符","期望输出 ""uppercase""","期望输出 ""uppercase""",N/A,FAIL,是
TC-UNIT-CONCAT-002-05,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""hello"", ""world"", [""hello"",""world""])","期望输出 """"（两部分都被trim）","期望输出 """"（两部分都被trim）",N/A,FAIL,是
TC-UNIT-CONCAT-002-06,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""prefix_data"", ""_suffix"", [""prefix_"",""_suffix""])","期望输出 ""data""","期望输出 ""data""",N/A,FAIL,是
TC-UNIT-CONCAT-002-07,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""abc"", ""def"", []) 空trim_list","期望输出 ""abcdef""（不做trim）","期望输出 ""abcdef""（不做trim）",N/A,FAIL,是
TC-UNIT-CONCAT-002-08,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""hello"", ""world"", [""xyz""]) 无匹配","期望输出 ""helloworld""","期望输出 ""helloworld""",N/A,FAIL,是
TC-UNIT-CONCAT-002-09,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat("""", """", [""""])",不崩溃,不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-CONCAT-002-10,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""_"", ""prefix_price"", ""high_suffix"", [""prefix_"",""_suffix""])","期望输出 ""price_high""","期望输出 ""price_high""",N/A,FAIL,是
TC-UNIT-CONCAT-002-11,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""@"", ""user123"", ""cn"", [""user""])","期望输出 ""123@cn""（去除 ""user"" 后拼接）","期望输出 ""123@cn""（去除 ""user"" 后拼接）",N/A,FAIL,是
TC-UNIT-CONCAT-002-12,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""-"", ""abc"", ""def"", []) 空trim_list","期望输出 ""abc-def""","期望输出 ""abc-def""",N/A,FAIL,是
TC-UNIT-CONCAT-002-13,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""_"", ""ABC"", ""DEF"", [""ABC""])","期望输出 ""_DEF"" 或 ""DEF""，记录实际分隔符处理方式","期望输出 ""_DEF"" 或 ""DEF""，记录实际分隔符处理方式",N/A,FAIL,是
TC-UNIT-CONCAT-003-01,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b""], [""x"",""y""])","期望输出 [""ax"",""ay"",""bx"",""by""]，长度=4","期望输出 [""ax"",""ay"",""bx"",""by""]，长度=4",N/A,FAIL,是
TC-UNIT-CONCAT-003-02,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""tag1"",""tag2""], [""sports"",""news""])",期望输出4项，含tag1sports/tag1news/tag2sports/tag2news,期望输出4项，含tag1sports/tag1news/tag2sports/tag2news,N/A,FAIL,是
TC-UNIT-CONCAT-003-03,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b"",""c""], [""1"",""2""])",期望输出 6 项,期望输出 6 项,N/A,FAIL,是
TC-UNIT-CONCAT-003-04,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a""], [""x""]) 单元素","期望输出 [""ax""]，长度=1","期望输出 [""ax""]，长度=1",N/A,FAIL,是
TC-UNIT-CONCAT-003-05,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([1,2], [10,20]) int32","期望输出 [""110"",""120"",""210"",""220""]","期望输出 [""110"",""120"",""210"",""220""]",N/A,FAIL,是
TC-UNIT-CONCAT-003-06,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([1LL,2LL], [""a"",""b""]) int64+string","期望输出 [""1a"",""1b"",""2a"",""2b""]","期望输出 [""1a"",""1b"",""2a"",""2b""]",N/A,FAIL,是
TC-UNIT-CONCAT-003-07,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b""], []) 右空",期望返回 []，不崩溃,期望返回 []，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-CONCAT-003-08,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([], [""x"",""y""]) 左空",期望返回 []，不崩溃,期望返回 []，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-CONCAT-003-09,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([], []) 均空",期望返回 []，不崩溃,期望返回 []，不崩溃,Expression 'stat_topk_k0_empty' length must be positive,PASS,是
TC-UNIT-CONCAT-003-10,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"len(A)=5, len(B)=5 结果数量验证",期望结果长度=25,期望结果长度=25,N/A,FAIL,是
TC-UNIT-CONCAT-003-11,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,cartesian_concat 超出 export.len=10 截断,期望截断至长度10，不崩溃,期望截断至长度10，不崩溃,N/A,FAIL,是
TC-UNIT-DATE-001-01,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,year(1711123200) UTC 2024-03-22,"期望输出 ""2024""","期望输出 ""2024""",N/A,FAIL,是
TC-UNIT-DATE-001-02,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,year(0) Unix纪元,"期望输出 ""1970""","期望输出 ""1970""",N/A,FAIL,是
TC-UNIT-DATE-001-03,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,month(1711123200),"期望输出 ""03""","期望输出 ""03""",N/A,FAIL,是
TC-UNIT-DATE-001-04,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,month(1672531200) 2023-01-01,"期望输出 ""01""","期望输出 ""01""",N/A,FAIL,是
TC-UNIT-DATE-001-05,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,day(1711123200),"期望输出 ""22""","期望输出 ""22""",N/A,FAIL,是
TC-UNIT-DATE-001-06,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,day(1672531200),"期望输出 ""01""","期望输出 ""01""",N/A,FAIL,是
TC-UNIT-DATE-001-07,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,weekday(1711123200),"记录实际格式（""5"" 或 ""Friday""），验证格式一致性","记录实际格式（""5"" 或 ""Friday""），验证格式一致性",N/A,FAIL,是
TC-UNIT-DATE-001-08,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,weekday(1672531200) 2023-01-01 周日,记录实际值，验证为周日,记录实际值，验证为周日,N/A,FAIL,是
TC-UNIT-DATE-001-09,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,curdate(1711123200) 格式 YYYYMMDD,"期望输出 ""20240322""","期望输出 ""20240322""",N/A,FAIL,是
TC-UNIT-DATE-001-10,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,curdate(1672531200),"期望输出 ""20230101""","期望输出 ""20230101""",N/A,FAIL,是
TC-UNIT-DATE-001-11,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp(1711123200) 透传,期望输出 1711123200（原值不变）,期望输出 1711123200（原值不变）,N/A,FAIL,是
TC-UNIT-DATE-001-12,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp(0),期望输出 0,期望输出 0,N/A,FAIL,是
TC-UNIT-DATE-001-13,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,unix_timestamp 与 identity 对 int64 行为对比,两者结果一致,两者结果一致,N/A,FAIL,是
TC-UNIT-DATE-001-14,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%Y-%m-%d"")","期望输出 ""2024-03-22""","期望输出 ""2024-03-22""",N/A,FAIL,是
TC-UNIT-DATE-001-15,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%Y%m%d"")","期望输出 ""20240322""","期望输出 ""20240322""",N/A,FAIL,是
